mfcc_mean,mfcc_std,annotator_emo
"[-569.9552001953125, 79.61991119384766, 13.883641242980957, 38.151737213134766, -8.76638412475586, 20.246156692504883, -11.816770553588867, 7.633401870727539, -1.4361331462860107, 3.7220590114593506, 2.5259995460510254, 3.7703404426574707, 1.3730381727218628, -5.0128703117370605, 8.659910202026367, -2.834808111190796, 10.27834701538086, 1.9840283393859863, 0.11028970777988434, -3.2521538734436035]","[90.67060089111328, 38.42509460449219, 17.192279815673828, 26.745466232299805, 21.087934494018555, 21.532838821411133, 27.493967056274414, 17.916467666625977, 12.350529670715332, 10.380196571350098, 10.236082077026367, 8.515702247619629, 8.674692153930664, 7.797780990600586, 6.42081356048584, 11.320582389831543, 6.624636173248291, 7.184953212738037, 6.12852668762207, 8.006407737731934]",neutral
"[-394.0699768066406, 129.15707397460938, -22.53108024597168, 45.690643310546875, 8.18510913848877, 14.06562328338623, -0.8245798945426941, -3.6150944232940674, 0.18797791004180908, -1.639046549797058, 0.7120662331581116, -5.261990547180176, -1.2637666463851929, -6.521245956420898, 0.4697718322277069, -1.5962556600570679, -0.9670507311820984, 1.2348718643188477, -1.0341339111328125, 0.7028347849845886]","[77.66299438476562, 46.390296936035156, 21.156705856323242, 22.176721572875977, 17.27545166015625, 14.046817779541016, 13.97496223449707, 16.236774444580078, 14.493790626525879, 7.569569110870361, 7.226377964019775, 6.549832820892334, 6.165982723236084, 7.43873405456543, 6.391706943511963, 5.602099895477295, 6.168919086456299, 6.193953514099121, 5.425276756286621, 5.801369667053223]",neutral
"[-462.678955078125, 74.57830810546875, 8.890922546386719, 30.722854614257812, 5.425500392913818, 15.044220924377441, -15.769610404968262, 21.016529083251953, -1.595121145248413, 11.454680442810059, 5.458182334899902, 1.079944133758545, -1.064955472946167, -3.10880184173584, 4.824927806854248, -10.318029403686523, 9.389700889587402, -6.129519462585449, 3.5276780128479004, -3.1793406009674072]","[109.02069854736328, 43.0867919921875, 28.29363441467285, 20.29281997680664, 21.383769989013672, 18.933441162109375, 22.251646041870117, 13.866739273071289, 14.559060096740723, 9.599784851074219, 8.409858703613281, 10.514066696166992, 10.506654739379883, 5.930606842041016, 8.381379127502441, 12.089624404907227, 6.700318336486816, 8.400249481201172, 6.287131309509277, 6.399707794189453]",neutral
"[-436.20098876953125, 105.91805267333984, 4.098723888397217, 23.04746437072754, -19.017213821411133, 26.694244384765625, -20.025474548339844, -8.486825942993164, -11.591080665588379, -6.5150909423828125, 8.806367874145508, 2.0636301040649414, -2.37520432472229, -3.076343536376953, 12.826228141784668, -5.925443172454834, 7.677908897399902, 1.020582914352417, -4.685363292694092, 2.5937511920928955]","[80.22926330566406, 26.75787353515625, 14.672416687011719, 23.947124481201172, 29.166906356811523, 13.658178329467773, 16.63150978088379, 11.358037948608398, 9.233957290649414, 12.362214088439941, 10.445908546447754, 10.994041442871094, 10.003690719604492, 7.264000415802002, 6.551725387573242, 12.752967834472656, 8.827468872070312, 7.3692731857299805, 6.5703229904174805, 10.480551719665527]",neutral
"[-449.6969299316406, 100.95834350585938, -5.996922492980957, 1.7894290685653687, -19.253889083862305, 7.056239128112793, -9.863274574279785, -4.781191825866699, -0.912592887878418, -8.29464340209961, -2.9917304515838623, -1.800678014755249, -1.3053416013717651, -0.03524438291788101, 3.688466787338257, -6.5053863525390625, 0.847399890422821, -0.292037695646286, -5.5507731437683105, -2.6342973709106445]","[103.6613998413086, 54.068111419677734, 19.301025390625, 26.118587493896484, 22.34282684326172, 15.332188606262207, 20.126771926879883, 15.449628829956055, 9.938491821289062, 10.774155616760254, 11.149590492248535, 10.368606567382812, 6.9987969398498535, 7.6760149002075195, 7.34385347366333, 8.558778762817383, 5.345160961151123, 5.73213005065918, 8.510210990905762, 7.465115547180176]",neutral
"[-442.2704772949219, 125.53776550292969, 6.961394309997559, 28.151208877563477, 11.606162071228027, 1.0584230422973633, 6.605113506317139, 0.20153509080410004, -4.334933757781982, -4.252800941467285, -4.037509918212891, 2.0705373287200928, 3.628460645675659, -2.1962180137634277, 1.2211661338806152, -0.11571625620126724, -4.680651664733887, -2.558591365814209, -1.6639164686203003, -6.176214694976807]","[75.72528839111328, 44.14336013793945, 24.466812133789062, 17.40470314025879, 17.372665405273438, 15.520148277282715, 12.49710750579834, 10.359906196594238, 9.742846488952637, 8.351210594177246, 8.31570053100586, 5.755984783172607, 6.0528388023376465, 7.469115734100342, 5.085132122039795, 6.909058094024658, 7.574306964874268, 4.619256019592285, 6.090679168701172, 7.525365829467773]",sad
"[-612.2671508789062, 55.46335220336914, 26.042343139648438, 42.681941986083984, -13.127175331115723, 31.69401741027832, -15.57054615020752, 22.938547134399414, -13.661871910095215, 18.272716522216797, -4.738356113433838, 2.422346830368042, 9.117112159729004, -8.1233549118042, 15.628570556640625, -10.945821762084961, 11.638314247131348, -4.7730607986450195, 5.511575698852539, -3.542957305908203]","[64.3624038696289, 38.12937927246094, 17.323692321777344, 14.541546821594238, 15.31101131439209, 14.743804931640625, 11.628863334655762, 11.176929473876953, 10.209149360656738, 8.133224487304688, 7.1172661781311035, 6.8215131759643555, 6.814484596252441, 6.259640216827393, 5.830191135406494, 5.741453170776367, 5.961367130279541, 4.772009372711182, 4.607542991638184, 5.123183727264404]",sad
"[-581.3602905273438, 105.8375473022461, 9.460471153259277, 44.607154846191406, 3.879342555999756, 11.174633026123047, -22.73736000061035, -0.42618560791015625, -21.882787704467773, -7.42598819732666, -9.562373161315918, -3.6825051307678223, 1.0449532270431519, -9.83648681640625, 8.065896987915039, -5.994966983795166, 3.8210561275482178, -5.068424224853516, -0.49166151881217957, -3.544877290725708]","[87.01707458496094, 33.13267135620117, 22.792278289794922, 21.6832218170166, 16.793123245239258, 11.244715690612793, 17.545408248901367, 7.224179744720459, 11.979569435119629, 5.7090229988098145, 8.389662742614746, 6.49553108215332, 6.4493088722229, 10.521058082580566, 8.14318561553955, 7.281919956207275, 4.214773178100586, 6.995291709899902, 5.482544898986816, 5.031400203704834]",sad
"[-464.3992614746094, 129.63919067382812, 17.062515258789062, 45.383731842041016, 9.167704582214355, 8.31503677368164, -1.5774332284927368, 0.9075272083282471, -5.17332124710083, -3.444270372390747, 4.57038688659668, -9.477189064025879, -6.538918972015381, -4.883306980133057, -1.3306418657302856, -2.5889346599578857, -2.7799174785614014, 1.5628390312194824, 0.05000976100564003, -2.292738437652588]","[72.12840270996094, 23.33263397216797, 20.158855438232422, 24.926794052124023, 12.996325492858887, 8.308982849121094, 8.700379371643066, 9.994858741760254, 11.174257278442383, 7.499714374542236, 6.823487758636475, 9.119787216186523, 7.1674909591674805, 7.432931423187256, 4.706955909729004, 4.809823513031006, 5.044858932495117, 4.744446754455566, 4.388565540313721, 5.212597370147705]",neutral
"[-517.22021484375, 87.66394805908203, -16.958890914916992, 47.853797912597656, -25.022687911987305, 39.849952697753906, -29.34147834777832, 15.9669828414917, -15.18921184539795, 3.7330074310302734, 6.315127849578857, -4.434667587280273, 11.045072555541992, -10.854703903198242, 15.560892105102539, -7.935364723205566, 5.109129905700684, -10.2821626663208, -0.3024016320705414, 0.08051656186580658]","[73.14596557617188, 27.4548397064209, 24.811811447143555, 19.542949676513672, 22.924518585205078, 11.284111022949219, 11.539789199829102, 9.948551177978516, 9.729209899902344, 9.690075874328613, 7.5471649169921875, 9.610665321350098, 6.2133684158325195, 6.5950703620910645, 8.384610176086426, 6.896191120147705, 6.890533924102783, 6.820085048675537, 6.441805362701416, 6.214759826660156]",sad
